,control_04,max
412.2174,1034.0,1034.0
314.13208,1033.0,1033.0
324.1916,1032.0,1032.0
318.04688,1030.0,1030.0
473.2645,1030.0,1030.0
396.14316,1030.0,1030.0
377.13406,1030.0,1030.0
496.2134,1028.0,1028.0
442.10098,1024.0,1024.0
795.57416,1019.0,1019.0
358.21497,1018.0,1018.0
379.149,1018.0,1018.0
536.2415,1018.0,1018.0
420.14703,1018.0,1018.0
348.16046,1017.0,1017.0
629.16205,1015.0,1015.0
408.1826,1015.0,1015.0
382.12885,1014.0,1014.0
372.1893,1013.0,1013.0
482.16406,1011.0,1011.0
507.13287,1009.0,1009.0
480.19415,1006.0,1006.0
494.2935,1004.0,1004.0
424.17682,1004.0,1004.0
436.21625,1003.0,1003.0
783.5097,1003.0,1003.0
417.16718,1002.0,1002.0
362.14478,1000.0,1000.0
442.20096,998.0,998.0
364.1897,998.0,998.0
422.16193,998.0,998.0
356.19006,997.0,997.0
499.17325,995.0,995.0
478.18427,995.0,995.0
404.1478,994.0,994.0
412.1824,992.0,992.0
324.12158,991.0,991.0
402.16287,991.0,991.0
458.2052,991.0,991.0
506.22794,991.0,991.0
407.07764,991.0,991.0
560.16034,990.0,990.0
376.18912,990.0,990.0
402.13788,987.0,987.0
343.1557,986.0,986.0
470.19464,986.0,986.0
352.19525,985.0,985.0
410.1625,985.0,985.0
357.17502,984.0,984.0
859.5261,984.0,984.0
363.16473,983.0,983.0
391.1484,981.0,981.0
484.21396,981.0,981.0
340.15082,980.0,980.0
456.14032,978.0,978.0
464.16992,977.0,977.0
398.19806,977.0,977.0
550.48584,976.0,976.0
452.1705,974.0,974.0
354.21017,974.0,974.0
452.21548,974.0,974.0
341.1208,973.0,973.0
782.19476,973.0,973.0
665.37537,973.0,973.0
403.14783,972.0,972.0
472.21454,972.0,972.0
326.17648,972.0,972.0
430.16653,972.0,972.0
328.1464,972.0,972.0
374.1542,972.0,972.0
484.179,970.0,970.0
392.11835,968.0,968.0
330.1663,967.0,967.0
486.19388,967.0,967.0
748.4914,965.0,965.0
410.1925,964.0,964.0
539.40137,962.0,962.0
466.19482,961.0,961.0
564.5001,956.0,956.0
462.16003,955.0,955.0
350.17535,954.0,954.0
569.1749,953.0,953.0
346.11554,953.0,953.0
464.21494,952.0,952.0
474.19446,951.0,951.0
345.1456,951.0,951.0
440.21606,951.0,951.0
386.20865,951.0,951.0
608.1631,950.0,950.0
462.2,950.0,950.0
344.12564,950.0,950.0
888.4497,949.0,949.0
405.16272,949.0,949.0
322.1117,949.0,949.0
438.20117,948.0,948.0
333.14615,948.0,948.0
395.1832,948.0,948.0
428.18164,948.0,948.0
307.13242,947.0,947.0
370.1044,946.0,946.0
392.18835,946.0,946.0
419.18207,944.0,944.0
300.15274,944.0,944.0
435.1763,943.0,943.0
482.20908,942.0,942.0
398.15808,942.0,942.0
366.1696,940.0,940.0
502.1881,940.0,940.0
360.18988,938.0,938.0
508.20782,938.0,938.0
317.1469,937.0,937.0
418.1321,937.0,937.0
467.18478,936.0,936.0
494.2285,936.0,936.0
528.2419,936.0,936.0
404.18777,935.0,935.0
472.17953,935.0,935.0
344.05066,934.0,934.0
415.15225,934.0,934.0
746.4765,932.0,932.0
414.1623,931.0,931.0
776.5201,930.0,930.0
492.1636,930.0,930.0
451.13556,930.0,930.0
421.162,929.0,929.0
488.21378,929.0,929.0
360.12988,929.0,929.0
540.1713,929.0,929.0
486.2339,929.0,929.0
364.1547,927.0,927.0
365.13464,921.0,921.0
358.08,921.0,921.0
383.18878,921.0,921.0
492.2086,921.0,921.0
346.08054,920.0,920.0
337.14096,919.0,919.0
342.10074,917.0,917.0
362.17477,917.0,917.0
432.18646,916.0,916.0
480.24417,916.0,916.0
309.1473,916.0,916.0
346.21054,914.0,914.0
424.14185,914.0,914.0
402.20288,914.0,914.0
726.44244,913.0,913.0
424.21182,911.0,911.0
334.17612,909.0,909.0
495.26346,909.0,909.0
502.22812,904.0,904.0
496.2684,904.0,904.0
425.19177,903.0,903.0
438.15616,903.0,903.0
416.18222,902.0,902.0
388.14856,901.0,901.0
800.2039,900.0,900.0
340.19583,899.0,899.0
437.2012,898.0,898.0
459.17517,898.0,898.0
948.56683,897.0,897.0
565.2801,896.0,896.0
394.20825,895.0,895.0
490.1887,895.0,895.0
474.22946,895.0,895.0
321.14673,894.0,894.0
498.2683,893.0,893.0
748.57635,892.0,892.0
519.2323,892.0,892.0
433.1964,892.0,892.0
493.21854,891.0,891.0
457.16025,891.0,891.0
490.23367,891.0,891.0
548.27094,891.0,891.0
790.4794,890.0,890.0
464.2499,890.0,890.0
438.22617,890.0,890.0
413.20236,890.0,890.0
506.14792,889.0,889.0
426.20172,889.0,889.0
504.10303,888.0,888.0
788.4945,888.0,888.0
588.15405,888.0,888.0
441.09604,887.0,887.0
476.17435,886.0,886.0
401.13293,885.0,885.0
606.1482,883.0,883.0
378.204,883.0,883.0
710.19324,883.0,883.0
400.21796,882.0,882.0
340.11584,882.0,882.0
423.17188,882.0,882.0
370.2094,881.0,881.0
419.22208,880.0,880.0
546.216,880.0,880.0
323.16663,879.0,879.0
470.23465,873.0,873.0
478.22925,872.0,872.0
447.17572,872.0,872.0
374.2092,871.0,871.0
510.19275,870.0,870.0
516.24243,869.0,869.0
456.2153,869.0,869.0
500.2132,866.0,866.0
460.22012,866.0,866.0
598.24854,865.0,865.0
356.11008,865.0,865.0
407.18265,864.0,864.0
574.2497,864.0,864.0
450.2356,863.0,863.0
430.20154,863.0,863.0
342.16574,862.0,862.0
351.1553,862.0,862.0
479.22922,862.0,862.0
683.38947,861.0,861.0
339.1609,860.0,860.0
731.5722,860.0,860.0
386.13864,860.0,860.0
426.23172,859.0,859.0
397.1881,859.0,859.0
791.4843,859.0,859.0
388.22354,858.0,858.0
390.20844,858.0,858.0
445.20084,858.0,858.0
396.22318,857.0,857.0
353.1402,853.0,853.0
473.2295,853.0,853.0
465.2299,853.0,853.0
433.1614,853.0,853.0
507.23788,853.0,853.0
444.2209,853.0,853.0
455.18536,851.0,851.0
451.20554,851.0,851.0
373.14426,851.0,851.0
852.6364,850.0,850.0
835.66223,849.0,849.0
355.1401,849.0,849.0
444.15088,848.0,848.0
457.09027,848.0,848.0
408.2226,846.0,846.0
592.1638,846.0,846.0
454.2304,845.0,845.0
328.1914,845.0,845.0
335.16107,845.0,845.0
498.2283,844.0,844.0
314.10706,844.0,844.0
302.17264,844.0,844.0
429.1666,844.0,844.0
742.5317,843.0,843.0
447.21573,843.0,843.0
516.1675,843.0,843.0
503.24808,843.0,843.0
396.08316,843.0,843.0
406.2027,842.0,842.0
720.5477,842.0,842.0
341.17578,841.0,841.0
469.19467,840.0,840.0
564.2402,839.0,839.0
512.20764,839.0,839.0
305.1425,838.0,838.0
336.126,837.0,837.0
544.2011,837.0,837.0
312.18716,837.0,837.0
470.15964,836.0,836.0
414.2023,835.0,835.0
350.11035,834.0,834.0
558.22546,833.0,833.0
514.25757,832.0,832.0
621.1724,831.0,831.0
600.26843,831.0,831.0
466.23483,829.0,829.0
348.20044,829.0,829.0
653.16095,828.0,828.0
445.16083,828.0,828.0
361.13983,828.0,828.0
357.135,826.0,826.0
411.18243,826.0,826.0
421.20197,826.0,826.0
534.2166,825.0,825.0
418.23712,825.0,825.0
347.1655,825.0,825.0
390.16846,824.0,824.0
514.22754,823.0,823.0
654.3459,823.0,823.0
349.1404,823.0,823.0
520.2123,822.0,822.0
462.23,822.0,822.0
460.25012,821.0,821.0
630.377,821.0,821.0
416.0822,821.0,821.0
511.23767,821.0,821.0
542.1812,820.0,820.0
450.2706,818.0,818.0
409.15753,818.0,818.0
510.22772,818.0,818.0
785.21466,817.0,817.0
754.1961,816.0,816.0
497.27335,815.0,815.0
523.2621,815.0,815.0
369.17444,814.0,814.0
329.12137,812.0,812.0
454.1204,812.0,812.0
431.14648,811.0,811.0
311.12222,811.0,811.0
731.6022,810.0,810.0
588.26904,810.0,810.0
353.1752,809.0,809.0
430.13654,809.0,809.0
399.118,809.0,809.0
832.5224,808.0,808.0
719.45776,808.0,808.0
465.15488,807.0,807.0
435.2163,807.0,807.0
446.23578,807.0,807.0
369.12445,807.0,807.0
414.2323,806.0,806.0
528.1719,804.0,804.0
368.1695,803.0,803.0
482.26407,803.0,803.0
476.24936,800.0,800.0
547.23096,800.0,800.0
521.2472,799.0,799.0
313.14212,798.0,798.0
413.12735,798.0,798.0
498.18332,798.0,798.0
496.1734,797.0,797.0
327.15646,797.0,797.0
372.2243,797.0,797.0
797.63403,796.0,796.0
572.2348,795.0,795.0
495.20844,794.0,794.0
395.14322,794.0,794.0
804.6037,793.0,793.0
439.21112,793.0,793.0
441.20602,793.0,793.0
557.2155,792.0,792.0
836.6622,792.0,792.0
845.4618,791.0,791.0
518.1824,789.0,789.0
570.2499,789.0,789.0
612.2679,788.0,788.0
479.1892,788.0,788.0
535.2366,788.0,788.0
562.25525,788.0,788.0
418.20212,788.0,788.0
337.18097,787.0,787.0
380.1939,787.0,787.0
587.26404,787.0,787.0
736.43195,787.0,787.0
359.1599,786.0,786.0
451.28055,786.0,786.0
375.15915,786.0,786.0
437.1512,785.0,785.0
626.2822,785.0,785.0
472.25455,785.0,785.0
399.18802,785.0,785.0
530.18677,784.0,784.0
422.09692,784.0,784.0
303.1076,784.0,784.0
440.24606,784.0,784.0
531.1267,783.0,783.0
516.20746,782.0,782.0
391.1934,782.0,782.0
682.4545,781.0,781.0
383.1338,781.0,781.0
439.0711,780.0,780.0
485.26392,779.0,779.0
452.1405,778.0,778.0
494.2635,778.0,778.0
501.33316,777.0,777.0
524.24207,776.0,776.0
