,x,y,class,0,1
214,8,2,3,0.26190075,0.48435366
215,9,2,2,0.44958463,0.6062148
216,10,2,2,0.392109,0.65997696
217,11,2,3,0.17382719,0.44666862
218,12,2,3,0.36514792,0.6309237
219,13,2,3,0.39762023,0.6373986
220,14,2,3,0.37924588,0.5467157
221,15,2,3,0.34168178,0.5497348
222,16,2,3,0.2839654,0.4694899
223,17,2,3,0.2638301,0.6155647
224,19,2,3,0.18283662,0.46214905
225,24,2,3,0.028272392,0.2420138
226,26,2,3,0.013510481,0.25267658
227,28,2,3,0.3755304,0.6095204
228,32,2,2,0.41986668,0.6432327
229,33,2,3,0.1730253,0.3871289
230,34,2,3,0.39915994,0.588826
231,39,2,3,0.10831358,0.5160934
232,40,2,3,0.31975427,0.54766285
233,43,2,3,0.27399272,0.3894931
234,45,2,3,0.36703005,0.5634094
235,46,2,3,0.24424244,0.55681133
236,49,2,3,0.28752398,0.5286141
237,50,2,3,0.1462665,0.37162894
238,53,2,3,0.18544018,0.46785516
239,54,2,3,0.25840503,0.5214477
240,58,2,3,0.2225857,0.44594648
241,60,2,3,0.042793117,0.25162458
242,61,2,3,0.23172438,0.5369974
243,62,2,3,0.16638413,0.36811683
244,63,2,3,0.06672364,0.26710808
245,64,2,3,0.10276338,0.25899705
246,65,2,3,0.031431325,0.2593656
247,66,2,3,0.041409064,0.24316938
248,67,2,3,0.27557525,0.71568215
249,68,2,3,0.27080864,0.41200075
250,69,2,3,0.12761573,0.39305905
251,70,2,3,0.06276195,0.5082564
252,71,2,3,0.108707495,0.5753693
253,72,2,3,0.10884391,0.5430379
254,73,2,3,0.14827955,0.6289883
255,74,2,3,0.19742897,0.6663023
256,75,2,3,0.053494792,0.5250377
257,76,2,3,0.07381586,0.51784486
258,77,2,3,0.048540547,0.45336676
259,78,2,3,0.15022363,0.62149537
260,79,2,3,0.122003354,0.57046443
261,80,2,3,0.03390064,0.3577295
262,81,2,3,0.09340932,0.5762038
263,82,2,3,0.068015285,0.49692005
264,83,2,3,0.13615666,0.6395025
265,84,2,3,0.14432135,0.60793835
266,85,2,3,0.0697441,0.5463906
267,86,2,3,0.058658246,0.450606
268,87,2,3,0.2332207,0.71975565
269,88,2,3,0.039526157,0.4308339
270,89,2,3,0.033649635,0.4235552
271,90,2,3,0.03130669,0.33650127
272,91,2,3,0.07513152,0.44243625
273,92,2,3,0.10506731,0.6220954
274,93,2,3,0.05509244,0.5157878
275,94,2,3,0.05718278,0.47773734
